Word,POS Tag,Frequency
.,PUNCT,15292
",",PUNCT,8978
dan,CONJ,3550
membantu,VERB,3480
di,ADP,2270
dokter,NOUN,2078
sangat,ADV,1944
.,PROPN,1932
obat,NOUN,1857
bisa,ADV,1764
tidak,X,1669
!,PUNCT,1572
saya,PRON,1492
ini,DET,1425
to,PROPN,1419
Good,PROPN,1380
Sangat,ADV,1363
ada,VERB,1281
untuk,ADP,1240
yang,PRON,1217
Sangat,PROPN,1200
ke,ADP,1160
dengan,ADP,1102
cepat,ADJ,1086
and,CONJ,1041
sekali,ADV,1018
aplikasi,NOUN,874
Very,PROPN,869
nya,NOUN,849
yg,ADV,845
konsultasi,NOUN,812
juga,ADV,754
app,NOUN,714
the,DET,701
sudah,ADV,696
?,PUNCT,656
kasih,NOUN,653
dari,ADP,632
the,PROPN,629
banget,NOUN,607
pandemi,NOUN,594
mudah,ADJ,577
good,PROPN,559
tapi,CONJ,554
Aplikasi,NOUN,547
yg,NOUN,541
helpful,PROPN,536
app,PROPN,534
I,PROPN,532
saat,NOUN,529
lagi,ADV,527
baik,ADJ,512
resep,NOUN,500
for,PROPN,499
halodoc,NUM,495
rumah,NOUN,470
lebih,ADV,450
harus,ADV,446
dokternya,NOUN,443
you,PROPN,440
apps,NOUN,435
Saya,PRON,430
is,PROPN,427
ga,PROPN,419
sama,ADJ,402
this,PROPN,401
bagus,ADJ,399
hari,NOUN,389
with,PROPN,387
respon,NOUN,378
jam,NOUN,373
chat,NOUN,371
use,PROPN,370
chat,VERB,367
a,PROPN,365
konsul,NOUN,362
dalam,ADP,357
in,PROPN,351
lama,ADJ,350
buat,ADP,348
karena,CONJ,348
halodoc,NOUN,331
halodoc,PROPN,326
it,PROPN,325
sampai,ADP,324
Bagus,PROPN,324
driver,NOUN,320
1,NUM,319
my,PROPN,312
atau,CONJ,312
jelas,ADJ,306
waktu,NOUN,299
apotek,NOUN,294
order,NOUN,293
very,PROPN,293
seperti,ADP,292
Dokternya,PROPN,291
ya,X,286
ga,X,285
CS,PROPN,284
aja,NOUN,282
bayar,NOUN,280
doctor,PROPN,279
2,NUM,279
mau,ADV,278
